expid, time, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, 
trial0000026, 000240, AA, 4, 4, 1.104938, GDX, 149, 6, 24.950617, SNPR, 16, 2, 8.000000, ZIP, 101, 22, 4.630752, 97, 98, 
trial0000027, 000240, AA, 97, 2, 48.675000, GDX, 59, 6, 9.886111, SNPR, 36, 4, 9.000000, ZIP, 43, 20, 2.166667, 97, 99, 
trial0000027, 000240, AA, 63, 4, 15.750000, GDX, 28, 6, 4.777778, SNPR, 38, 4, 9.500000, ZIP, 141, 20, 7.066667, 99, 100, 
trial0000028, 000240, AA, 31, 2, 15.513889, GDX, 119, 6, 19.921296, SNPR, 17, 6, 2.833333, ZIP, 92, 18, 5.135802, 98, 100, 
trial0000028, 000240, AA, 9, 2, 4.779300, GDX, 160, 8, 20.055556, SNPR, 8, 6, 1.499493, ZIP, 73, 18, 4.055556, 97, 99, 
trial0000029, 000240, AA, 19, 2, 9.761728, GDX, 128, 6, 21.423868, SNPR, 38, 8, 4.783333, ZIP, 21, 16, 1.354167, 96, 97, 
trial0000029, 000240, AA, 5, 2, 2.666667, GDX, 35, 8, 4.458333, SNPR, 34, 8, 4.250000, ZIP, 49, 16, 3.062500, 95, 100, 
trial0000030, 000240, AA, 2, 2, 1.000000, GDX, 162, 6, 27.162670, SNPR, 35, 10, 3.503464, ZIP, 66, 14, 4.784953, 98, 100, 
trial0000030, 000240, AA, 1, 2, 0.888889, GDX, 210, 8, 26.277778, SNPR, 22, 10, 2.200000, ZIP, 82, 14, 5.857143, 98, 99, 
trial0000031, 000240, AA, 65, 2, 32.508333, GDX, 60, 6, 10.000000, SNPR, 43, 12, 3.609722, ZIP, 83, 12, 6.972222, 96, 100, 
trial0000031, 000240, AA, 40, 4, 10.021605, GDX, 55, 6, 9.244856, SNPR, 80, 12, 6.694444, ZIP, 48, 12, 4.009259, 96, 101, 
trial0000032, 000240, AA, 1, 2, 0.658022, GDX, 39, 6, 6.500000, SNPR, 90, 14, 6.488574, ZIP, 41, 10, 4.184393, 97, 100, 
trial0000032, 000240, AA, 78, 2, 39.307407, GDX, 92, 8, 11.546065, SNPR, 59, 14, 4.214286, ZIP, 91, 10, 9.101667, 97, 101, 
trial0000033, 000240, AA, 0, 2, 0.000000, GDX, 77, 6, 12.833333, SNPR, 70, 16, 4.375000, ZIP, 36, 8, 4.500000, 98, 99, 
trial0000033, 000240, AA, 15, 2, 7.558528, GDX, 100, 8, 12.500000, SNPR, 40, 16, 2.513517, ZIP, 52, 8, 6.583333, 97, 100, 
trial0000034, 000240, AA, 8, 2, 4.166667, GDX, 124, 6, 20.722222, SNPR, 70, 18, 3.907407, ZIP, 60, 6, 10.000000, 96, 102, 
trial0000034, 000240, AA, 6, 2, 3.348748, GDX, 115, 8, 14.458333, SNPR, 72, 18, 4.035324, ZIP, 19, 6, 3.166667, 95, 101, 
trial0000035, 000240, AA, 8, 2, 4.046258, GDX, 13, 6, 2.166667, SNPR, 74, 20, 3.745374, ZIP, 17, 4, 4.250000, 96, 101, 
trial0000035, 000240, AA, 45, 2, 22.516667, GDX, 164, 6, 27.333333, SNPR, 71, 20, 3.598333, ZIP, 9, 6, 1.500000, 97, 103, 
trial0000036, 000240, AA, 3, 2, 1.662551, GDX, 95, 6, 15.833333, SNPR, 110, 22, 5.030677, ZIP, 0, 2, 0.000000, 95, 103, 
trial0000036, 000240, AA, 71, 2, 35.720370, GDX, 132, 8, 16.569907, SNPR, 79, 22, 3.590909, ZIP, 15, 2, 7.500000, 97, 98, 
trial0000037, 000240, AA, 0, 2, 0.000000, GDX, 163, 8, 20.375000, SNPR, 0, 2, 0.000000, ZIP, 35, 20, 1.750000, 95, 99, 
trial0000037, 000240, AA, 2, 2, 1.401895, GDX, 167, 10, 16.722222, SNPR, 2, 2, 1.486994, ZIP, 134, 20, 6.700000, 97, 98, 
trial0000038, 000240, AA, 0, 2, 0.000000, GDX, 173, 8, 21.625000, SNPR, 12, 4, 3.000000, ZIP, 140, 18, 7.777778, 96, 97, 
trial0000038, 000240, AA, 70, 2, 35.188889, GDX, 112, 10, 11.265556, SNPR, 9, 4, 2.250000, ZIP, 80, 18, 4.498148, 96, 100, 
trial0000039, 000240, AA, 13, 2, 6.722222, GDX, 78, 8, 9.819444, SNPR, 65, 6, 10.833333, ZIP, 69, 16, 4.312500, 95, 99, 
trial0000039, 000240, AA, 20, 2, 10.166667, GDX, 163, 8, 20.458333, SNPR, 19, 8, 2.375000, ZIP, 112, 16, 7.000000, 97, 99, 
trial0000040, 000240, AA, 90, 2, 45.175000, GDX, 120, 8, 15.081250, SNPR, 14, 8, 1.750000, ZIP, 80, 14, 5.714286, 96, 98, 
trial0000040, 000240, AA, 85, 4, 21.273611, GDX, 45, 8, 5.666667, SNPR, 15, 8, 1.875000, ZIP, 200, 14, 14.326587, 97, 101, 
trial0000041, 000240, AA, 0, 2, 0.000000, GDX, 89, 8, 11.125000, SNPR, 74, 10, 7.400000, ZIP, 23, 12, 1.916667, 97, 102, 
trial0000041, 000240, AA, 46, 2, 23.386111, GDX, 74, 10, 7.456111, SNPR, 48, 10, 4.833333, ZIP, 98, 12, 8.194444, 98, 101, 
trial0000042, 000240, AA, 0, 2, 0.444444, GDX, 232, 8, 29.013889, SNPR, 21, 12, 1.750000, ZIP, 54, 10, 5.400000, 97, 98, 
trial0000042, 000240, AA, 7, 2, 3.842250, GDX, 125, 10, 12.566667, SNPR, 51, 12, 4.304070, ZIP, 34, 10, 3.400000, 98, 102, 
trial0000043, 000240, AA, 5, 2, 2.500000, GDX, 190, 8, 23.750000, SNPR, 53, 14, 3.785714, ZIP, 11, 8, 1.375000, 96, 100, 
trial0000043, 000240, AA, 73, 2, 36.555556, GDX, 222, 10, 22.211111, SNPR, 24, 14, 1.769841, ZIP, 35, 8, 4.375000, 98, 99, 
trial0000044, 000240, AA, 2, 2, 1.148148, GDX, 135, 8, 16.875000, SNPR, 69, 16, 4.356481, ZIP, 38, 6, 6.333333, 95, 102, 
trial0000044, 000240, AA, 0, 2, 0.000000, GDX, 177, 10, 17.700000, SNPR, 55, 16, 3.437500, ZIP, 21, 6, 3.500000, 99, 101, 
trial0000045, 000240, AA, 3, 2, 1.684008, GDX, 139, 8, 17.458333, SNPR, 66, 18, 3.720295, ZIP, 50, 4, 12.500000, 97, 102, 
trial0000045, 000240, AA, 76, 2, 38.444444, GDX, 180, 10, 18.077778, SNPR, 47, 18, 2.611111, ZIP, 35, 4, 8.833333, 100, 102, 
trial0000046, 000240, AA, 2, 2, 1.222222, GDX, 114, 8, 14.250000, SNPR, 91, 20, 4.550000, ZIP, 16, 2, 8.277778, 98, 102, 
trial0000046, 000240, AA, 21, 2, 10.913066, GDX, 255, 10, 25.517387, SNPR, 58, 20, 2.900000, ZIP, 1, 2, 0.500000, 101, 103, 
trial0000047, 000240, AA, 37, 2, 18.833333, GDX, 231, 10, 23.133333, SNPR, 0, 2, 0.000000, ZIP, 125, 18, 6.944444, 98, 100, 
trial0000047, 000240, AA, 13, 2, 6.592593, GDX, 231, 12, 19.262346, SNPR, 19, 2, 9.500000, ZIP, 14, 18, 0.814815, 95, 97, 
trial0000048, 000240, AA, 15, 2, 7.666667, GDX, 205, 10, 20.533333, SNPR, 3, 4, 0.750000, ZIP, 149, 16, 9.333333, 96, 100, 
trial0000048, 000240, AA, 40, 2, 20.000000, GDX, 163, 12, 13.583333, SNPR, 20, 4, 5.000000, ZIP, 56, 16, 3.500000, 100, 101, 
trial0000049, 000240, AA, 9, 2, 4.944444, GDX, 49, 10, 4.911111, SNPR, 33, 6, 5.500000, ZIP, 121, 14, 8.642857, 97, 99, 
trial0000049, 000240, AA, 59, 2, 29.615432, GDX, 123, 10, 12.380247, SNPR, 44, 6, 7.438889, ZIP, 35, 16, 2.208333, 96, 101, 
trial0000050, 000240, AA, 81, 2, 40.655556, GDX, 164, 10, 16.440000, SNPR, 22, 8, 2.750000, ZIP, 94, 12, 7.857407, 97, 99, 
trial0000050, 000240, AA, 2, 4, 0.513006, GDX, 158, 10, 15.800000, SNPR, 19, 8, 2.493497, ZIP, 28, 12, 2.333333, 97, 98, 
trial0000051, 000240, AA, 39, 2, 19.888889, GDX, 154, 10, 15.422222, SNPR, 19, 10, 1.966667, ZIP, 50, 10, 5.033333, 97, 100, 
trial0000051, 000240, AA, 3, 4, 0.981481, GDX, 167, 10, 16.755556, SNPR, 37, 10, 3.751852, ZIP, 40, 10, 4.000000, 98, 101, 
trial0000052, 000240, AA, 89, 2, 44.684877, GDX, 123, 10, 12.391358, SNPR, 52, 12, 4.333333, ZIP, 32, 8, 4.089583, 97, 100, 
trial0000052, 000240, AA, 104, 4, 26.072068, GDX, 192, 10, 19.271173, SNPR, 46, 12, 3.833333, ZIP, 27, 8, 3.375000, 97, 102, 
trial0000053, 000240, AA, 2, 2, 1.259259, GDX, 166, 10, 16.648148, SNPR, 47, 14, 3.357143, ZIP, 55, 6, 9.166667, 100, 102, 
trial0000053, 000240, AA, 1, 2, 0.599753, GDX, 161, 12, 13.483882, SNPR, 59, 14, 4.285279, ZIP, 49, 6, 8.166667, 99, 103, 
trial0000054, 000240, AA, 3, 2, 1.600300, GDX, 135, 10, 13.533333, SNPR, 86, 16, 5.404129, ZIP, 7, 4, 1.750000, 96, 102, 
trial0000054, 000240, AA, 2, 2, 1.096411, GDX, 181, 12, 15.156379, SNPR, 40, 16, 2.558165, ZIP, 32, 4, 8.000000, 100, 102, 
trial0000055, 000240, AA, 43, 2, 21.610494, GDX, 108, 10, 10.866667, SNPR, 40, 18, 2.253086, ZIP, 30, 2, 15.278395, 98, 102, 
